KEY,en,notes,sp,fr,de,it,pt-br
FURNITURE_DESC_SET_BLOCK_DOWNL,,,,,,,
FURNITURE_NAME_SET_BLOCK_SIDEI,"Laying ""I"" Block",,Pieza I tumbada,Bloc «&nbsp;I&nbsp;» couché,Liegender „I“-Block,"Blocco ""I"" orizzontale","Bloco ""I"" deitado"
FURNITURE_DESC_SET_BLOCK_SIDEI,,,,,,,
FURNITURE_NAME_SET_MONSTER_SHELF,Monster Shelf,,Estante monstruoso,Étagère monstre,Monsterregal,Scaffale a forma di mostro,Estante monstruosa
FURNITURE_DESC_SET_MONSTER_SHELF,,,,,,,
FURNITURE_NAME_SET_MONSTER_DRESSER,Monster Dresser,,Aparador monstruoso,Commode monstre,Monsterkleiderschrank,Comò a forma di mostro,Cômoda monstruosa
FURNITURE_DESC_SET_MONSTER_DRESSER,,,,,,,
FURNITURE_NAME_SET_MONSTER_TABLE,Monster Table A,,Mesa monstruosa A,Table monstre A,Monstertisch A,Tavolo a forma di mostro A,Mesa monstruosa A
FURNITURE_DESC_SET_MONSTER_TABLE,,,,,,,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF,Suspended Monster Shelf A,,Estante monstruoso colgado A,Étagère suspendue monstre A,Monsterhängeregal A,Mensola sospesa a forma di mostro A,Prateleira monstruosa A
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_MONSTER_SIDETABLE,Monster Side Table,,Mesilla monstruosa,Table d'appoint monstre,Monsterbeistelltisch,Tavolino a forma di mostro,Mesa lateral monstruosa
FURNITURE_DESC_SET_MONSTER_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF2,Suspended Monster Shelf B,,Estante monstruoso colgado B,Étagère suspendue monstre B,Monsterhängeregal B,Mensola sospesa a forma di mostro B,Prateleira monstruosa B
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF2,,,,,,,
FURNITURE_NAME_SET_MONSTER_CHAIR,Monster Chair,,Silla monstruosa,Chaise monstre,Monsterstuhl,Sedia a forma di mostro,Estante monstruosa
FURNITURE_DESC_SET_MONSTER_CHAIR,,,,,,,
FURNITURE_NAME_SET_MONSTER_TABLE2,Monster Table B,,Mesa monstruosa B,Table monstre B,Monstertisch B,Tavolo a forma di mostro B,Mesa monstruosa B
FURNITURE_DESC_SET_MONSTER_TABLE2,,,,,,,
FURNITURE_NAME_SET_MONSTER_TV,Monster TV,,Tele monstruosa,TV monstre,Monsterfernseher,TV a forma di mostro,TV monstruosa
FURNITURE_DESC_SET_MONSTER_TV,,,,,,,
FURNITURE_NAME_SET_MONSTER_LAMP,Monster Lamp,,Lámpara monstruosa,Lampe monstre,Monsterlampe,Lampada a forma di mostro,Luminária monstruosa
FURNITURE_DESC_SET_MONSTER_LAMP,,,,,,,
FURNITURE_NAME_SET_ANGELIC_BED,Angelic Bed,,Cama angelical,Lit angélique,Engelbett,Letto angelico,Cama angelical
FURNITURE_DESC_SET_ANGELIC_BED,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SHELF,Angelic Shelf,,Estante angelical,Étagère angélique,Engelregal,Scaffale angelico,Estante angelical
FURNITURE_DESC_SET_ANGELIC_SHELF,,,,,,,
FURNITURE_NAME_SET_ANGELIC_CHAIR,Angelic Chair,,Silla angelical,Chaise angélique,Engelstuhl,Sedia angelica,Cadeira angelical
FURNITURE_DESC_SET_ANGELIC_CHAIR,,,,,,,
FURNITURE_NAME_SET_ANGELIC_DRESSER,Angelic Dresser,,Aparador angelical,Commode angélique,Engelkleiderschrank,Comò angelico,Cômoda angelical
FURNITURE_DESC_SET_ANGELIC_DRESSER,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SIDETABLE,Angelic Side Table,,Mesilla angelical,Table d'appoint angélique,Engelbeistelltisch,Tavolino angelico,Mesa lateral angelical
FURNITURE_DESC_SET_ANGELIC_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TOILET,Angelic Toilet,,Retrete angelical,Toilettes angéliques,Engeltoilette,WC angelico,Privada angelical
FURNITURE_DESC_SET_ANGELIC_TOILET,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TABLE,Angelic Table A,,Mesa angelical A,Table angélique A,Engeltisch A,Tavolo angelico A,Mesa angelical A
FURNITURE_DESC_SET_ANGELIC_TABLE,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TABLE2,Angelic Table B,,Mesa angelical B,Table angélique B,Engeltisch B,Tavolo angelico B,Mesa angelical B
FURNITURE_DESC_SET_ANGELIC_TABLE2,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SUSPENDEDSHELF,Suspended Angelic Shelf,,Estante angelical colgado,Étagère suspendue angélique,Engelhängeregal,Mensola sospesa angelica,Prateleira angelical
FURNITURE_DESC_SET_ANGELIC_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_ANGELIC_LAMP,Angelic Lamp,,Lámpara angelical,Lampe angélique,Engellampe,Lampada angelica,Luminária angelical
FURNITURE_DESC_SET_ANGELIC_LAMP,,,,,,,
FURNITURE_NAME_SET_ATOMIC_STOVE,Atomic Stove,,Hornillo atómico,Cuisinière atomique,Radioaktiver Ofen,Stufa atomica,Fogão atômico
FURNITURE_DESC_SET_ATOMIC_STOVE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_FRIGE,Atomic Fridge,,Nevera atómica,Frigo atomique,Radioaktiver Kühlschrank,Frigo atomico,Geladeira atômica
FURNITURE_DESC_SET_ATOMIC_FRIGE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_COUCH,Atomic Couch,,Sofá atómico,Canapé atomique,Radioaktives Sofa,Divano atomico,Sofá atômico
FURNITURE_DESC_SET_ATOMIC_COUCH,,,,,,,
FURNITURE_NAME_SET_ATOMIC_TV,Atomic TV,,Tele atómica,TV atomique,Radioaktiver Fernseher,TV atomica,TV atômica
FURNITURE_DESC_SET_ATOMIC_TV,,,,,,,
FURNITURE_NAME_SET_ATOMIC_TABLE,Atomic Table,,Mesa atómica,Table atomique,Radioaktiver Tisch,Tavolo atomico,Mesa atômica
FURNITURE_DESC_SET_ATOMIC_TABLE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_SIDETABLE,Atomic Side Table,,Mesilla atómica,Table d'appoint atomique,Radioaktiver Beistelltisch,Tavolino atomico,Mesa lateral atômica
FURNITURE_DESC_SET_ATOMIC_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_RADIO,Atomic Radio,,Radio atómica,Radio atomique,Radioaktives Radio,Radio atomica,Rádio atômico
FURNITURE_DESC_SET_ATOMIC_RADIO,,,,,,,
FURNITURE_NAME_SET_ATOMIC_LAMP,Atomic Lamp,,Lámpara atómica,Lampe atomique,Radioaktive Lampe,Lampada atomica,Luminária atômica
FURNITURE_DESC_SET_ATOMIC_LAMP,,,,,,,
FURNITURE_NAME_SET_ATOMIC_SHELF,Atomic Shelf,,Estante atómico,Étagère atomique,Radioaktives Regal,Scaffale atomico,Estante atômica
FURNITURE_DESC_SET_ATOMIC_SHELF,,,,,,,
FURNITURE_NAME_SET_ATOMIC_CHAIR,Atomic Chair,,Silla atómica,Chaise atomique,Radioaktiver Stuhl,Sedia atomica,Cadeira atômica
FURNITURE_DESC_SET_ATOMIC_CHAIR,,,,,,,
FURNITURE_NAME_SET_ELEGANT_TABLE,Elegant Table,,Mesa elegante,Table élégante,Stilvoller Tisch,Tavolo elegante,Mesa elegante
FURNITURE_DESC_SET_ELEGANT_TABLE,,,,,,,
FURNITURE_NAME_SET_ELEGANT_BED,Elegant Bed,,Cama elegante,Lit élégant,Stilvolles Bett,Letto elegante,Cama elegante
FURNITURE_DESC_SET_ELEGANT_BED,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DESK,Elegant Desk,,Escritorio elegante,Bureau élégant,Stilvoller Schreibtisch,Scrivania elegante,Escrivaninha elegante
FURNITURE_DESC_SET_ELEGANT_DESK,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DRESSER,Elegant Dresser A,,Aparador elegante A,Commode élégante A,Stilvoller Kleiderschrank A,Comò elegante A,Cômoda elegante A
FURNITURE_DESC_SET_ELEGANT_DRESSER,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DRESSER2,Elegant Dresser B,,Aparador elegante B,Commode élégante B,Stilvoller Kleiderschrank B,Comò elegante B,Cômoda elegante B
FURNITURE_DESC_SET_ELEGANT_DRESSER2,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE,Elegant Side Table A,,Mesilla elegante A,Table d'appoint élégante A,Stilvoller Beistelltisch A,Tavolino elegante A,Mesa lateral elegante A
FURNITURE_DESC_SET_ELEGANT_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE2,Elegant Side Table B,,Mesilla elegante B,Table d'appoint élégante B,Stilvoller Beistelltisch B,Tavolino elegante B,Mesa lateral elegante B
FURNITURE_DESC_SET_ELEGANT_SIDETABLE2,,,,,,,
FURNITURE_NAME_SET_ELEGANT_CHAIR,Elegant Chair,,Silla elegante,Chaise élégante,Stilvoller Stuhl,Sedia elegante,Cadeira elegante
FURNITURE_DESC_SET_ELEGANT_CHAIR,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SHELF,Elegant Shelf,,Estante elegante,Étagère élégante,Stilvolles Regal,Mensola elegante,Estante elegante
FURNITURE_DESC_SET_ELEGANT_SHELF,,,,,,,
FURNITURE_NAME_SET_ELEGANT_LAMP,Elegant Lamp,,Lámpara elegante,Lampe élégante,Stilvolle Lampe,Lampada elegante,Luminária elegante
FURNITURE_DESC_SET_ELEGANT_LAMP,,,,,,,
FURNITURE_NAME_SET_MODERN_BED,Modern Bed,,Cama moderna,Lit moderne,Modernes Bett,Letto moderno,Cama moderna
FURNITURE_DESC_SET_MODERN_BED,,,,,,,
FURNITURE_NAME_SET_MODERN_FRIGE,Modern Fridge,,Nevera moderna,Frigo moderne,Moderner Kühlschrank,Frigo moderno,Geladeira moderna
FURNITURE_DESC_SET_MODERN_FRIGE,,,,,,,
FURNITURE_NAME_SET_MODERN_STOVE,Modern Stove,,Hornillo moderno,Cuisinière moderne,Moderner Ofen,Stufa moderna,Fogão moderno
FURNITURE_DESC_SET_MODERN_STOVE,,,,,,,
FURNITURE_NAME_SET_MODERN_COUCH,Modern Couch,,Sofá moderno,Canapé moderne,Modernes Sofa,Divano moderno,Sofá moderno
FURNITURE_DESC_SET_MODERN_COUCH,,,,,,,
FURNITURE_NAME_SET_MODERN_CHAIR,Modern Chair,,Silla moderna,Chaise moderne,Moderner Stuhl,Sedia moderna,Cadeira moderna
FURNITURE_DESC_SET_MODERN_CHAIR,,,,,,,
FURNITURE_NAME_SET_MODERN_DRESSER,Modern Dresser,,Aparador moderno,Commode moderne,Moderner Kleiderschrank,Comò moderno,Cômoda moderna
FURNITURE_DESC_SET_MODERN_DRESSER,,,,,,,
FURNITURE_NAME_SET_MODERN_SIDETABLE,Modern Side Table,,Mesilla moderna,Table d'appoint moderne,Moderner Beistelltisch,Tavolino moderno,Mesa lateral moderna
FURNITURE_DESC_SET_MODERN_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_MODERN_TABLE,Modern Table,,Mesa moderna,Table moderne,Moderner Tisch,Tavolo moderno,Mesa moderna
FURNITURE_DESC_SET_MODERN_TABLE,,,,,,,
FURNITURE_NAME_SET_MODERN_DESK,Modern Desk,,Escritorio moderno,Bureau moderne,Moderner Schreibtisch,Scrivania moderna,Escrivaninha moderna
FURNITURE_DESC_SET_MODERN_DESK,,,,,,,
FURNITURE_NAME_SET_MODERN_TV,Modern TV,,Tele moderna,TV moderne,Moderner Fernseher,TV moderna,TV moderna
FURNITURE_DESC_SET_MODERN_TV,,,,,,,
FURNITURE_NAME_SET_80S_COUCH,80s Couch,,Sofá ochentero,Canapé années&nbsp;80,80er-Sofa,Divano anni '80,Sofá anos 80
FURNITURE_DESC_SET_80S_COUCH,,,,,,,
FURNITURE_NAME_SET_80S_BED,80s Bed,,Cama ochentera,Lit années&nbsp;80,80er-Bett,Letto anni '80,Cama anos 80
FURNITURE_DESC_SET_80S_BED,,,,,,,
FURNITURE_NAME_SET_80S_DRESSER,80s Dresser,,Aparador ochentero,Commode années&nbsp;80,80er-Kleiderschrank,Comò anni '80,Cômoda anos 80
FURNITURE_DESC_SET_80S_DRESSER,,,,,,,
FURNITURE_NAME_SET_80S_CHAIR,80s Chair,,Silla ochentera,Chaise années&nbsp;80,80er-Stuhl,Sedia anni '80,Cadeira anos 80
FURNITURE_DESC_SET_80S_CHAIR,,,,,,,
FURNITURE_NAME_SET_80S_STOVE,80s Stove,,Hornillo ochentero,Cuisinière années&nbsp;80,80er-Ofen,Stufa anni '80,Fogão anos 80
FURNITURE_DESC_SET_80S_STOVE,,,,,,,
FURNITURE_NAME_SET_80S_FRIGE,80s Fridge,,Nevera ochentera,Frigo années&nbsp;80,80er-Kühlschrank,Frigo anni '80,Geladeira anos 80
FURNITURE_DESC_SET_80S_FRIGE,,,,,,,
FURNITURE_NAME_SET_80S_SHELF,80s Shelf,,Estante ochentero,Étagère années&nbsp;80,80er-Regal,Scaffale anni '80,Prateleira anos 80
FURNITURE_DESC_SET_80S_SHELF,,,,,,,
FURNITURE_NAME_SET_80S_TV,80s TV,,Tele ochentera,TV années&nbsp;80,80er-Fernseher,TV anni '80,TV anos 80
FURNITURE_DESC_SET_80S_TV,,,,,,,
FURNITURE_NAME_SET_80S_TABLE,80s Table,,Mesa ochentera,Table années&nbsp;80,80er-Tisch,Tavolo anni '80,Mesa anos 80
FURNITURE_DESC_SET_80S_TABLE,,,,,,,
FURNITURE_NAME_SET_80S_SIDETABLE,80s Side Table,,Mesilla ochentera,Table d'appoint années&nbsp;80,80er-Beistelltisch,Tavolino anni '80,Mesa lateral anos 80
FURNITURE_DESC_SET_80S_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_RETRO_BED,Art Deco Bed,,Cama art déco,Lit art déco,Art Deco Bett,Letto Art Déco,Cama art déco
FURNITURE_DESC_SET_RETRO_BED,,,,,,,
FURNITURE_NAME_SET_RETRO_STOVE,Art Deco Stove,,Hornillo art déco,Cuisinière art déco,Art Deco Ofen,Stufa Art Déco,Fogão art déco
FURNITURE_DESC_SET_RETRO_STOVE,,,,,,,
FURNITURE_NAME_SET_RETRO_FRIGE,Art Deco Fridge,,Nevera art déco,Frigo art déco,Art Deco Kühlschrank,Frigo Art Déco,Geladeira art déco
FURNITURE_DESC_SET_RETRO_FRIGE,,,,,,,
FURNITURE_NAME_SET_RETRO_COUCH,Art Deco Couch,,Sofá art déco,Canapé art déco,Art Deco Sofa,Divano Art Déco,Sofá art déco
FURNITURE_DESC_SET_RETRO_COUCH,,,,,,,
FURNITURE_NAME_SET_RETRO_CHAIR,Art Deco Chair,,Silla art déco,Chaise art déco,Art Deco Stuhl,Sedia Art Déco,Cadeira art déco
FURNITURE_DESC_SET_RETRO_CHAIR,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER,Art Deco Dresser,,Aparador art déco,Commode art déco,Art Deco Kleiderschrank,Comò Art Déco,Cômoda art déco
FURNITURE_DESC_SET_RETRO_DRESSER,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER2,Art Deco Vanity,,Tocador art déco,Coiffeuse art déco,Art Deco Frisiertisch,Toeletta Art Déco,Penteadeira art déco
FURNITURE_DESC_SET_RETRO_DRESSER2,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER3,Art Deco Armoire,,Cómoda art déco,Armoire art déco,Art Deco Vertiko,Armadio Art Déco,Guarda-roupa art déco
FURNITURE_DESC_SET_RETRO_DRESSER3,,,,,,,
FURNITURE_NAME_SET_RETRO_SIDETABLE,Art Deco Side Table,,Mesilla art déco,Table d'appoint art déco,Art Deco Beistelltisch,Tavolino Art Déco,Mesa lateral art déco
FURNITURE_DESC_SET_RETRO_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_RETRO_LAMP,Art Deco Lamp,,Lámpara art déco,Lampe art déco,Art Deco Lampe,Lampada Art Déco,Luminária art déco
FURNITURE_DESC_SET_RETRO_LAMP,,,,,,,
FURNITURE_NAME_SET_90S_BED,90s Bed,,Cama noventera,Lit années&nbsp;90,90er-Bett,Letto anni '90,Cama anos 90
FURNITURE_DESC_SET_90S_BED,,,,,,,
FURNITURE_NAME_SET_90S_CABINET,Suspended 90s Cabinet,,Vitrina noventera colgada,Placard suspendu années&nbsp;90,90er-Hängeschrank,Armadietto sospeso anni '90,Armário suspenso anos 90
FURNITURE_DESC_SET_90S_CABINET,,,,,,,
FURNITURE_NAME_SET_90S_CABINET2,90s Cabinet,,Vitrina noventera,Placard années&nbsp;90,90er-Schrank,Armadietto anni '90,Armário anos 90
FURNITURE_DESC_SET_90S_CABINET2,,,,,,,
FURNITURE_NAME_SET_90S_SINK,90s Sink,,Lavabo noventero,Évier années&nbsp;90,90er-Waschbecken,Lavandino anni '90,Pia anos 90
FURNITURE_DESC_SET_90S_SINK,,,,,,,
FURNITURE_NAME_SET_90S_STOVE,90s Stove,,Hornillo noventero,Cuisinière années&nbsp;90,90er-Ofen,Stufa anni '90,Fogão anos 90
FURNITURE_DESC_SET_90S_STOVE,,,,,,,
FURNITURE_NAME_SET_90S_FRIGE,90s Fridge,,Nevera noventera,Frigo années&nbsp;90,90er-Kühlschrank,Frigorifero anni '90,Geladeira anos 90
FURNITURE_DESC_SET_90S_FRIGE,,,,,,,
FURNITURE_NAME_SET_90S_SHELF,90s Shelf,,Estante noventero,Étagère années&nbsp;90,90er-Regal,Scaffale anni '90,Estante anos 90
FURNITURE_DESC_SET_90S_SHELF,,,,,,,
FURNITURE_NAME_SET_90S_SUSPENDEDSHELF,Suspended 90s Shelf,,Estante noventero colgado,Étagère suspendue années&nbsp;90,90er-Hängeregal,Mensola sospesa anni '90,Prateleira anos 90
FURNITURE_DESC_SET_90S_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_90S_CHAIR,90s Chair,,Silla noventera,Chaise années&nbsp;90,90er-Stuhl,Sedia anni '90,Cadeira anos 90
FURNITURE_DESC_SET_90S_CHAIR,,,,,,,
FURNITURE_NAME_SET_90S_STOOL,90s Stool,,Taburete noventero,Tabouret années&nbsp;90,90er-Hocker,Sgabello anni '90,Banqueta anos 90
FURNITURE_DESC_SET_90S_STOOL,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TABLE1,Mushroom Table A,,Mesa fúngica A,Table champignon A,Pilztisch A,Tavolo a forma di fungo A,Mesa cogumelo A
FURNITURE_DESC_SET_MUSHROOM_TABLE1,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL,Mushroom Stool A,,Taburete fúngico A,Tabouret champignon A,Pilzhocker A,Sgabello a forma di fungo A,Banqueta cogumelo A
FURNITURE_DESC_SET_MUSHROOM_STOOL,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL2,Mushroom Stool B,,Taburete fúngico B,Tabouret champignon B,Pilzhocker B,Sgabello a forma di fungo B,Banqueta cogumelo B
FURNITURE_DESC_SET_MUSHROOM_STOOL2,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_CHAIR,Mushroom Chair,,Silla fúngica,Chaise champignon,Pilzstuhl,Sedia a forma di fungo,Cadeira cogumelo
FURNITURE_DESC_SET_MUSHROOM_CHAIR,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TABLE,Mushroom Table B,,Mesa fúngica B,Table champignon B,Pilztisch B,Tavolo a forma di fungo B,Mesa cogumelo B
FURNITURE_DESC_SET_MUSHROOM_TABLE,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TOILET,Mushroom Toilet,,Retrete fúngico,Toilettes champignon,Pilztoilette,WC a forma di fungo,Privada cogumelo
FURNITURE_DESC_SET_MUSHROOM_TOILET,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SHELF,Mushroom Shelf,,Estante fúngico,Étagère champignon,Pilzregal,Mensola a forma di fungo,Estante cogumelo
FURNITURE_DESC_SET_MUSHROOM_SHELF,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF,Suspended Mushroom Shelf A,,Estante fúngico colgado A,Étagère suspendue champignon A,Pilzhängeregal A,Mensola sospesa a forma di fungo A,Prateleira cogumelo A
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF2,Suspended Mushroom Shelf B,,Estante fúngico colgado B,Étagère suspendue champignon B,Pilzhängeregal B,Mensola sospesa a forma di fungo B,Prateleira cogumelo B
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF2,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL3,Mushroom Stool C,,Taburete fúngico C,Tabouret champignon C,Pilzhocker C,Sgabello a forma di fungo C,Banqueta cogumelo C
FURNITURE_DESC_SET_MUSHROOM_STOOL3,,,,,,,
FURNITURE_NAME_SET_RUSTIC_DRESSER,Rustic Dresser,,Aparador rústico,Commode rustique,Rustikaler Kleiderschrank,Comò rustico,Cômoda rústica
FURNITURE_DESC_SET_RUSTIC_DRESSER,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SHELF,Suspended Rustic Shelf A,,Estante rústico colgado A,Étagère suspendue&nbsp;rustique A,Rustikales Hängeregal A,Mensola rustica sospesa A,Prateleira rústica A
FURNITURE_DESC_SET_RUSTIC_SHELF,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF,Suspended Rustic Shelf B,,Estante rústico colgado B,Étagère suspendue rustique B,Rustikales Hängeregal B,Mensola rustica sospesa B,Prateleira rústica B
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SIDETABLE,Rustic Side Table,,Mesilla rústica,Table d'appoint rustique,Rustikaler Beistelltisch,Tavolino rustico,Mesa lateral rústica
FURNITURE_DESC_SET_RUSTIC_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF2,Suspended Rustic Spice Rack,,Especiero rústico colgado,Étagère à épices suspendue rustique,Rustikales Gewürzregal,Portaspezie rustico sospeso,Suporte de temperos rústico
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF2,,,,,,,
FURNITURE_NAME_SET_RUSTIC_CHAIR,Rustic Chair,,Silla rústica,Chaise rustique,Rustikaler Stuhl,Sedia rustica,Cadeira rústica
FURNITURE_DESC_SET_RUSTIC_CHAIR,,,,,,,
FURNITURE_NAME_SET_RUSTIC_DESK,Rustic Desk,,Escritorio rústico,Bureau rustique,Rustikaler Schreibtisch,Scrivania rustica,Escrivaninha rústica
FURNITURE_DESC_SET_RUSTIC_DESK,,,,,,,
FURNITURE_NAME_SET_RUSTIC_BENCH,Rustic Bench,,Banco rústico,Banc rustique,Rustikale Bank,Panca rustica,Banco rústico
FURNITURE_DESC_SET_RUSTIC_BENCH,,,,,,,
FURNITURE_NAME_SET_RUSTIC_TABLE,Rustic Table,,Mesa rústica,Table rustique,Rustikaler Tisch,Tavolo rustico,Mesa rústica
FURNITURE_DESC_SET_RUSTIC_TABLE,,,,,,,
FURNITURE_NAME_SET_RUSTIC_STOOL,Rustic Stool,,Taburete rústico,Tabouret rustique,Rustikaler Hocker,Sgabello rustico,Banqueta rústica
FURNITURE_DESC_SET_RUSTIC_STOOL,,,,,,,
FURNITURE_NAME_SET_CUTE_DRESSER,Cute Dresser,,Aparador cuqui,Commode mimi,Süßer Kleiderschrank,Comò carino,Cômoda fofinha
FURNITURE_DESC_SET_CUTE_DRESSER,,,,,,,
FURNITURE_NAME_SET_CUTE_SIDETABLE,Cute Side Table A,,Mesilla cuqui A,Table d'appoint mimi A,Süßer Beistelltisch A,Tavolino carino A,Mesa lateral fofinha A
FURNITURE_DESC_SET_CUTE_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_CUTE_SHELF,Cute Shelf,,Estante cuqui,Étagère mimi,Süßes Regal,Scaffale carino,Estante fofinha
FURNITURE_DESC_SET_CUTE_SHELF,,,,,,,
FURNITURE_NAME_SET_CUTE_DRESSER2,Cute Armoire,,Cómoda cuqui,Armoire mimi,Süßes Vertiko,Armadio carino,Guarda-roupa fofinho
FURNITURE_DESC_SET_CUTE_DRESSER2,,,,,,,
FURNITURE_NAME_SET_CUTE_COUCH,Cute Couch,,Sofá cuqui,Canapé mimi,Süßes Sofa,Divano carino,Sofá fofinho
FURNITURE_DESC_SET_CUTE_COUCH,,,,,,,
FURNITURE_NAME_SET_CUTE_BED,Cute Bed,,Cama cuqui,Lit mimi,Süßes Bett,Letto carino,Cama fofinha
FURNITURE_DESC_SET_CUTE_BED,,,,,,,
FURNITURE_NAME_SET_CUTE_CHAIR,Cute Chair,,Silla cuqui,Chaise mimi,Süßer Stuhl,Sedia carina,Cadeira fofinha
FURNITURE_DESC_SET_CUTE_CHAIR,,,,,,,
FURNITURE_NAME_SET_CUTE_STOOL,Cute Stool,,Taburete cuqui,Tabouret mimi,Süßer Hocker,Sgabello carino,Banqueta fofinha
FURNITURE_DESC_SET_CUTE_STOOL,,,,,,,
FURNITURE_NAME_SET_CUTE_TABLE2,Cute Coffee Table,,Mesa de centro cuqui,Table d'appoint mimi,Süßer Kaffeetisch,Tavolino da caffè carino,Mesa de centro fofinha
FURNITURE_DESC_SET_CUTE_TABLE2,,,,,,,
FURNITURE_NAME_SET_CUTE_SIDETABLE2,Cute Side Table B,,Mesilla cuqui B,Table d'appoint mimi B,Süßer Beistelltisch B,Tavolino carino B,Mesa lateral fofinha B
FURNITURE_DESC_SET_CUTE_SIDETABLE2,,,,,,,
FURNITURE_NAME_OBJECT_WOOD_TABLE,Wood Table,,Mesa de madera,Table en bois,Holztisch,Tavolo di legno,Mesa de madeira
FURNITURE_DESC_OBJECT_WOOD_TABLE,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_LION,Guardian Lion Statue,,Estatua de león guardián,Statue de lion gardien,Löwenwächterstatue,Statua del Leone Guardiano,Estátua do leão guardião
FURNITURE_DESC_OBJECT_STATUE_LION,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_JESUS,Christ the Redeemer Statue,,Estatua del Cristo Redentor,Statue du Christ Rédempteur,Jesusstatue,Statua del Cristo Redentore,Estátua do Cristo Redentor
FURNITURE_DESC_OBJECT_STATUE_JESUS,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_DEVIL,Baphomet Statue,,Estatua de Bafomet,Statue de Baphomet,Statue von Baphomet,Statua di Bafometto,Estátua de Baphomet
FURNITURE_DESC_OBJECT_STATUE_DEVIL,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_MERMAID,The Little Mermaid Statue,,Estatua de la Sirenita,Statue de la Petite Sirène,Statue der kleinen Meerjungfrau,Statua della Sirenetta,Estátua da pequena sereia
FURNITURE_DESC_OBJECT_STATUE_MERMAID,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_LOTUS,Lord Shiva Statue,,Estatua de Shiva,Statue Adiyogi Shiva,Shivastatue,Statua di Shiva,Estátua de Shiva
FURNITURE_DESC_OBJECT_STATUE_LOTUS,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_BUDDAH,Laughing Buddha Statue,,Estatua de Buda sonriente,Statue de Bouddha rieur,Statue des lachenden Buddha,Statua del Buddha Sorridente,Estátua do Buda risonho
FURNITURE_DESC_OBJECT_STATUE_BUDDAH,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_LUCKYCAT,Maneki Neko Statue,,Estatua de gato de la suerte,Statue de Maneki Neko,Maneki Neko,Statua di Maneki Neko,Estátua de Maneki Neko
